Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Africa,Guinea,0.005046685919300482,"8,344,486",2000,"[('Afghanistan', 7.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Guinea-Bissau,0.0,"1,240,655",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Guyana,0.054330849364548676,"733,101",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Haiti,0.006361785977721488,"8,645,371",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Honduras,0.024970606213969394,"6,218,151",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,"Hong Kong SAR, China",0.8173062265566392,"6,665,000",2000,"[('Afghanistan', 3.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Hungary,0.3012719358423406,"10,210,971",2000,"[('Afghanistan', 2.0), ('Albania', 599.0), ('Algeria', 5.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Iceland,0.7641969381767749,"281,205",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,India,0.003394156395424667,"1,053,898,107",2000,"[('Afghanistan', 6904.0), ('Albania', 3.0), ('Algeria', 2.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Indonesia,0.017194966765241265,"213,395,411",2000,"[('Afghanistan', 11.0), ('Albania', 0.0), ('Algeria', 3.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Middle East,"Iran, Islamic Rep.",0.014731570821660003,"65,342,319",2000,"[('Afghanistan', 23.0), ('Albania', 2.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Middle East,Iraq,0.0,"24,313,641",2000,"[('Afghanistan', 7.0), ('Albania', 2.0), ('Algeria', 58.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Ireland,0.6467509764336664,"3,805,174",2000,"[('Afghanistan', 76.0), ('Albania', 0.0), ('Algeria', 2.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Isle of Man,0.0,"76,803",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Middle East,Israel,0.6996342820798219,"6,289,000",2000,"[('Afghanistan', 1.0), ('Albania', 4.0), ('Algeria', 1.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Italy,0.7419114164161257,"56,942,108",2000,"[('Afghanistan', 0.0), ('Albania', 61.0), ('Algeria', 2285.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Jamaica,0.14171374019121885,"2,589,389",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Japan,0.5264000472925041,"126,870,000",2000,"[('Afghanistan', 11.0), ('Albania', 2.0), ('Algeria', 3.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Middle East,Jordan,0.08107326732673267,"4,797,500",2000,"[('Afghanistan', 0.0), ('Albania', 2.0), ('Algeria', 24.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Kazakhstan,0.013256178299562217,"14,883,626",2000,"[('Afghanistan', 29.0), ('Albania', 5.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Kenya,0.00407644521843989,"31,253,701",2000,"[('Afghanistan', 76.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Oceania,Kiribati,0.0035710034519700036,"84,010",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,"Korea, Dem. Rep.",0.0,"22,894,095",2000,"[('Afghanistan', 4.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,"Korea, Rep.",0.5704645592239619,"47,008,000",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Kosovo,0.0,"1,700,000",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Middle East,Kuwait,0.2452614559255889,"1,940,786",2000,"[('Afghanistan', 80.0), ('Albania', 0.0), ('Algeria', 10.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Kyrgyz Republic,0.0018373346398824107,"4,898,400",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Lao PDR,0.002384964623306865,"5,317,060",2000,"[('Afghanistan', 1.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Latvia,0.16910009966350398,"2,372,985",2000,"[('Afghanistan', 0.0), ('Albania', 4.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Middle East,Lebanon,0.19853946566429623,"3,742,329",2000,"[('Afghanistan', 3.0), ('Albania', 10.0), ('Algeria', 36.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Lesotho,0.01099864655543776,"1,963,878",2000,"[('Afghanistan', 7.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Liberia,0.0005268167274847311,"2,847,290",2000,"[('Afghanistan', 2.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Libya,0.007646445196302408,"5,231,189",2000,"[('Afghanistan', 1.0), ('Albania', 2.0), ('Algeria', 35.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Liechtenstein,0.3043862052171796,"32,853",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Lithuania,0.14973413618262535,"3,499,536",2000,"[('Afghanistan', 0.0), ('Albania', 15.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Luxembourg,0.6951042860417144,"436,300",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,"Macao SAR, China",0.3266098127432751,"431,867",2000,"[('Afghanistan', 4.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,"Macedonia, FYR",0.05761212408994914,"2,009,091",2000,"[('Afghanistan', 0.0), ('Albania', 5396.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Madagascar,0.004106540160184615,"15,364,272",2000,"[('Afghanistan', 2.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Malawi,0.004363795953888391,"11,228,756",2000,"[('Afghanistan', 5.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Malaysia,0.21873875315936525,"23,414,909",2000,"[('Afghanistan', 166.0), ('Albania', 0.0), ('Algeria', 5.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Maldives,0.02795385673922909,"273,236",2000,"[('Afghanistan', 3.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Mali,0.0009205579229068595,"11,295,324",2000,"[('Afghanistan', 14.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Malta,0.3000920382942236,"381,363",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 1.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Oceania,Marshall Islands,0.008572250455460735,"52,145",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Mauritania,0.005789439230375409,"2,642,743",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 1.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Mauritius,0.15165902333274073,"1,186,873",2000,"[('Afghanistan', 14.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Mexico,0.14083570607539683,"99,959,594",2000,"[('Afghanistan', 6.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Oceania,"Micronesia, Fed. Sts.",0.0,"107,103",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Moldova,0.038191135919779934,"3,639,588",2000,"[('Afghanistan', 0.0), ('Albania', 8.0), ('Algeria', 1.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
